ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,IECC_Climate_Zone,Lockout_Setpoint
35023,Jefferson County,AL,01073,H1,3A,69.0
35022,Jefferson County,AL,01073,H1,3A,69.0
35243,Jefferson County,AL,01073,H1,3A,69.0
35244,Jefferson County,AL,01073,H1,3A,69.0
35236,Jefferson County,AL,01073,H1,3A,69.0
35270,Jefferson County,AL,01073,H1,3A,69.0
35295,Jefferson County,AL,01073,H1,3A,69.0
35119,Jefferson County,AL,01073,H1,3A,69.0
35015,Jefferson County,AL,01073,H1,3A,69.0
35139,Jefferson County,AL,01073,H1,3A,69.0
35111,Jefferson County,AL,01073,H1,3A,69.0
35073,Jefferson County,AL,01073,H1,3A,69.0
35117,Jefferson County,AL,01073,H1,3A,69.0
35216,Jefferson County,AL,01073,H1,3A,69.0
35223,Jefferson County,AL,01073,H1,3A,69.0
35020,Jefferson County,AL,01073,H1,3A,69.0
35242,Jefferson County,AL,01073,H1,3A,69.0
35234,Jefferson County,AL,01073,H1,3A,69.0
35231,Jefferson County,AL,01073,H1,3A,69.0
35220,Jefferson County,AL,01073,H1,3A,69.0
35229,Jefferson County,AL,01073,H1,3A,69.0
35123,Jefferson County,AL,01073,H1,3A,69.0
35060,Jefferson County,AL,01073,H1,3A,69.0
35293,Jefferson County,AL,01073,H1,3A,69.0
35206,Jefferson County,AL,01073,H1,3A,69.0
35226,Jefferson County,AL,01073,H1,3A,69.0
